"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hsaKmtWaitOnMultipleEvents,54,4033245107,74689724,80.76944232
hsaKmtAllocMemory,150,776872642,5179150,15.5575890836
hsaKmtFreeMemory,152,140530377,924541,2.81425003395
hsaKmtMapMemoryToGPUNodes,123,28995296,235734,0.58065746705
hsaKmtMapMemoryToGPU,35,5119408,146268,0.102520853109
hsaKmtCreateQueue,9,4734525,526058,0.0948132170882
hsaKmtUnmapMemoryToGPU,159,2210493,13902,0.0442671551383
hsaKmtCreateEvent,1030,1374441,1334,0.0275244449882
hsaKmtSetEvent,38,174703,4597,0.00349858823535
hsaKmtDestroyQueue,9,136092,15121,0.00272536745291
hsaKmtQueryPointerInfo,83,78479,945,0.00157161414585
hsaKmtRegisterMemoryToNodes,27,31115,1152,0.000623106488972
hsaKmtGetNodeProperties,18,18637,1035,0.000373223063955
hsaKmtDestroyEvent,4,7167,1791,0.000143525765916
